"","state","suicideRate","nrc.anger.x","nrc.anticipation.x","nrc.disgust.x","nrc.fear.x","nrc.joy.x","nrc.sadness.x","nrc.surprise.x","nrc.trust.x","nrc.negative.x","nrc.positive.x","sentiment_neg.x","sentiment_pos.x","nrc.anger.y","nrc.anticipation.y","nrc.disgust.y","nrc.fear.y","nrc.joy.y","nrc.sadness.y","nrc.surprise.y","nrc.trust.y","nrc.negative.y","nrc.positive.y","withdrawal","nausea","episodes","attacks","irritability","headache","imbalance","drowsy","fun","play","helped","god","answer","wants","leave","beautiful","suffer","tolerance","agree","hate","helpful","haha","enjoy","social","talk","save","win","care","love","like","hold","cope","amazing","side...effects","doctor","doses","effective","prescribed","stimulant","psychotherapy","diagnosis","pills","toxicity","X40mg","drugs","life","home","woman","she","him","girl","game","men","friends","sexual","boy","someone","movie","jesus","house","music","religion","her","songs","bible","relationship","hell","young","style","church","lord","father","heaven","dating","depress","stress","alcohol","fuck","shit","lone","support","fake","suicide","hope","sentiment_neg.y","sentiment_pos.y","retail_recreation","grocery_pharmacy","parks","transit_stations","workplaces","residential","antidep","psych","psych.hos","drg","suic","phrase1","phrase2","phrase3"
"21","Massachusetts",9.5,0.58338779956427,0.54624183006536,0.418164488017429,0.569144880174292,0.279575163398693,0.519417211328976,0.452532679738562,0.599727668845315,1.02429193899782,1.22445533769063,0.165069595746187,0.0853314793507625,35,44,20,43,27,37,24,61,74,96,0,0,0,0,0,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,1,2,2,1,4,8,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,4,1,0,1,10,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.6236145,6.88235343,-59,-36,-56,-73,-42,16,0.01,0.11,0.01,0.38,0.5,0.34,0.33,0.33
"22","Michigan",14.1,0.439206245691181,0.513214704950717,0.319312824908234,0.721236467979653,0.255580689038365,0.588874769419963,0.368088095548641,0.762651064860534,1.21417130932195,1.02028508077289,0.190682471970001,0.0915490464050755,70,91,42,93,43,76,47,110,168,158,0,0,0,0,0,0,0,0,2,9,0,0,1,2,1,0,1,0,0,0,0,0,0,5,1,2,5,9,1,9,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,5,3,0,1,20,3,0,0,0,0,0,2,0,1,24,0,0,1,0,4,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,1,23.43957667,12.38434225,-58,-28,15,-55,-43,12,0.02,0.08,0.02,0.39,0.49,0.17,0.35,0.48
"23","Minnesota",13.8,0.350587337909992,0.624670371581127,0.259563038029857,0.740698485343795,0.310517598343685,0.490099160945844,0.455247902364607,0.662181540808543,1.12604772801569,1.20566307072028,0.178126274276888,0.040847532949221,40,71,27,97,38,55,53,76,139,137,0,0,0,0,0,0,0,0,2,10,0,0,1,0,1,0,0,0,0,0,0,1,0,5,0,0,4,9,2,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,4,0,2,3,0,0,16,1,0,2,0,0,0,0,0,0,21,0,0,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,16.154943,5.8390856,-58,-35,-16,-64,-38,14,0.01,0.08,0,0.37,0.54,0.2,0.2,0.6
"24","Mississippi",15,0.218888888888889,0.305555555555556,0.138888888888889,0.371111111111111,0.155555555555556,0.268888888888889,0.0666666666666666,0.588888888888888,0.571111111111111,0.656666666666666,0.156047718444444,0.0327755061111112,7,10,5,11,7,8,3,20,16,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.3525621,1.2665644,-32,-7,27,-29,-30,9,0.06,0.03,0,0.52,0.39,0.5,0,0.5
"25","Missouri",18.5,0.733059097764979,0.750275606746195,0.432540792540792,0.801672836966954,0.233769367887015,0.681634443987386,0.666853146853147,0.514257507198684,1.02378170848759,1.18690250925545,0.132403601689291,0.123796861727684,39,42,17,45,16,35,20,36,59,58,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,1,0,0,4,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.0647986,8.7130897,-38,-12,73,-34,-32,9,0.01,0.08,0.02,0.4,0.49,0.76,0,0.24
"26","Montana",28.9,1.00347222222222,1.21180555555555,0.513888888888889,0.840277777777777,0.322916666666667,0.697916666666666,0.420138888888889,1.34027777777778,1.52430555555556,1.96527777777778,0.149504448888889,0.0549341580555556,26,30,10,22,10,18,11,28,37,44,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.11888797,1.75263764,-51,-25,28,-37,-37,10,0.06,0.17,0,0.25,0.52,0,0,0
"27","Nebraska",14.7,0.207692307692308,0.715229215229215,0.133333333333333,0.370823620823621,0.481779331779332,0.437490287490288,0.161111111111111,0.611188811188811,1.02397047397047,1.04121989121989,0.132815987486402,0.0339156595959596,6,38,4,13,29,16,4,32,57,63,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,9,0,0,0,0,0,0,0,1,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,7.469811,1.2704827,-34,-9,109,-18,-24,8,0.04,0.04,0,0.37,0.55,0,0,0
"28","Nevada",20.3,0.897348484848486,0.704924242424242,0.291287878787879,0.749621212121212,0.293181818181818,0.329166666666667,0.247727272727273,0.842424242424242,1.35492424242424,1.2685606060606,0.176690894734849,0.0796631230303028,23,24,7,23,8,11,6,27,39,46,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.732288,3.2446115,-47,-23,-38,-62,-52,14,0.01,0.08,0.01,0.36,0.54,0,0.67,0.33
"29","New Hampshire",18.9,0.541666666666667,0.486111111111111,0.458333333333333,0.777777777777778,0.291666666666667,0.583333333333333,0.527777777777778,0.73611111111111,1.02777777777778,1.08333333333333,0.171145448611111,0.078161976388889,14,14,11,17,7,12,8,21,26,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.3793525,1.7489369,-58,-35,-63,-63,-38,13,0,0.1,0,0.47,0.43,0,0,0
"30","New Jersey",8.3,0.432327141382869,0.534800649399682,0.241776661884266,0.599834881320949,0.256306602230109,0.420555765309975,0.242090915955599,0.579904729542652,0.813941075788468,0.806510483525889,0.108416652581515,0.181836468330809,90,113,51,119,52,85,47,114,163,163,0,0,0,1,0,0,0,0,6,12,0,0,0,0,0,0,0,0,1,1,0,0,0,7,1,2,3,15,0,6,0,1,1,0,2,0,3,0,0,0,0,0,0,0,1,4,3,1,6,0,0,0,15,0,0,0,1,0,0,0,0,0,26,0,0,4,1,5,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,21.2725223,13.3303863,-59,-33,-36,-70,-44,16,0.01,0.11,0.02,0.44,0.42,0.2,0.4,0.4
